Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.05     0.00    24844     0.00     0.00  void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node* const&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node* const&)
  0.00      1.05     0.00    17468     0.00     0.00  Vec2::Vec2()
  0.00      1.05     0.00    16885     0.00     0.00  __gnu_cxx::new_allocator<Node*>::deallocate(Node**, unsigned long)
  0.00      1.05     0.00    16885     0.00     0.00  std::allocator_traits<std::allocator<Node*> >::deallocate(std::allocator<Node*>&, Node**, unsigned long)
  0.00      1.05     0.00    16000     0.00     0.00  Node::setNodepos(Vec2)
  0.00      1.05     0.00    16000     0.00     0.00  Node::Node()
  0.00      1.05     0.00    16000     0.00     0.00  void __gnu_cxx::new_allocator<Node*>::construct<Node*, Node*>(Node**, Node*&&)
  0.00      1.05     0.00    16000     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator-(long) const
  0.00      1.05     0.00    16000     0.00     0.00  void std::allocator_traits<std::allocator<Node*> >::construct<Node*, Node*>(std::allocator<Node*>&, Node**, Node*&&)
  0.00      1.05     0.00    16000     0.00     0.00  Node*& std::vector<Node*, std::allocator<Node*> >::emplace_back<Node*>(Node*&&)
  0.00      1.05     0.00    16000     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::back()
  0.00      1.05     0.00    16000     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::push_back(Node*&&)
  0.00      1.05     0.00    16000     0.00     0.00  std::remove_reference<Node*&>::type&& std::move<Node*&>(Node*&)
  0.00      1.05     0.00    12174     0.00     0.00  Place* std::__addressof<Place>(Place&)
  0.00      1.05     0.00     7010     0.00     0.00  Place::~Place()
  0.00      1.05     0.00     5586     0.00     0.00  Node::getParent()
  0.00      1.05     0.00     5024     0.00     0.00  Place const& std::forward<Place const&>(std::remove_reference<Place const&>::type&)
  0.00      1.05     0.00     4776     0.00     0.00  __gnu_cxx::__normal_iterator<Place const*, std::vector<Place, std::allocator<Place> > >::base() const
  0.00      1.05     0.00     4084     0.00     0.00  Place&& std::forward<Place>(std::remove_reference<Place>::type&)
  0.00      1.05     0.00     3672     0.00     0.00  void std::_Destroy<Place>(Place*)
  0.00      1.05     0.00     3172     0.00     0.00  Voiture::MoveRight()
  0.00      1.05     0.00     2590     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::pop_back()
  0.00      1.05     0.00     2388     0.00     0.00  bool __gnu_cxx::operator!=<Place const*, std::vector<Place, std::allocator<Place> > >(__gnu_cxx::__normal_iterator<Place const*, std::vector<Place, std::allocator<Place> > > const&, __gnu_cxx::__normal_iterator<Place const*, std::vector<Place, std::allocator<Place> > > const&)
